folder,profile_name,surface_ini,surface_old,surface_new
20160214,S36M0592,171.82231404958677,173.46900099446066,171.66528206178918
20160214,S36M0593,172.47520661157026,173.7169348683674,172.40908368350938
20160214,S36M0594,168.61570247933884,169.99792675976641,168.49999293824658
20160214,S36M0595,166.96280991735537,168.51032351632603,166.93800953263417
20160215,S36M0601,158.09504132231405,160.32850567740388,158.0165223032236
20160215,S36M0602,156.10330578512398,157.84916693833657,156.11156370537356
20160216,S36M0605,147.72314049586777,150.41115072113462,148.13222519680858
20160216,S36M0606,145.33471074380165,147.9318119820673,145.28511787811294
20160216,S36M0607,142.02479338842974,144.7086716212798,142.11569652333856
20160216,S36M0608,144.35537190082644,146.69214261253364,144.32644023234025
20160216,S36M0609,146.98347107438016,148.92354747769423,146.4875971665606
20160217,S36M0612,165.03305785123968,166.0309847772587,164.38015840016305
20160217,S36M0613,164.7520661157025,167.76652189460583,164.6280922740698
20160217,S36M0614,165.50413223140495,167.76652189460583,164.6818112800829
20160217,S36M0615,165.65289256198346,168.2623896424193,165.76445586280897
20160217,S36M0616,165.06198347107437,168.01445576851256,165.876026106067
20160218,S36M0695,174.05371900826447,177.18800910306163,173.98346378281713
20160218,S36M0696,174.59504132231405,176.9400752291549,174.6900753234513
20160218,S36M0698,176.6818181818182,179.17148009431548,176.44627359695733
20160219,S36M0701,160.55371900826447,162.8078444164712,160.5785056669265
20160219,S36M0702,160.81404958677686,163.05577829037793,160.65288582909852
20160219,S36M0703,159.98347107438016,161.56817504693754,159.77272057672963
20160219,S36M0705,154.36363636363637,157.10536531661637,163.07024109968916
20160220,S36M0708,129.20247933884298,132.3119779259432,129.61982927843928
20160220,S36M0709,129.57438016528926,132.55991179984994,129.6363582033664
20160220,S36M0710,129.54545454545453,133.55164729547687,129.62396150967106
20160221,S36M0715,144.19421487603304,146.94007648644038,144.83883690508083
20160221,S36M0716,144.43388429752065,147.1880103603471,144.54131625639275
20160221,S36M0717,139.69421487603304,142.4772667561192,139.8181759584695
20160221,S36M0718,127.07438016528926,129.8326391868759,127.00825913995504
